id,emoji,name,description,sheet_id,,,,,,,,,,,,,,,,
joker,🤡,小丑,小丑聊天记录,6a7dc9,,,,,,,,,,,,,,,,
loveSF,💖,爱情科幻,爱情科幻故事,zuMbfa,,,,,,,,,,,,,,,,
xiatou,🦐,下头语录,下头语录,yndDUM,,,,,,,,,,,,,,,,
pua,💪,PUA,PUA 话术,Rrssvg,,,,,,,,,,,,,,,,
kfc,🍗,疯狂星期四,肯德基疯狂星期四文案,JLTKRH,,,,,,,,,,,,,,,,
loveWords,🫧,土味情话,土味情话,P7tRvp,,,,,,,,,,,,,,,,
